TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,IsFraud,Merchant
TID0061,AID6,3269.01,2023-03-02,ATM,California,1,Target
TID0062,AID36,3232.67,2023-03-03,ATM,Illinois,0,Walmart
TID0063,AID19,307.76,2023-03-04,Online,California,0,Walmart
TID0064,AID41,3642.43,2023-03-05,ATM,Texas,0,eBay
TID0065,AID40,4003.96,2023-03-06,ATM,Florida,0,Costco
TID0066,AID24,550.8,2023-03-07,POS,Texas,0,Target
TID0067,AID37,961.99,2023-03-08,ATM,Florida,0,Target
TID0068,AID13,2683.75,2023-03-09,Online,California,0,Costco
TID0069,AID46,705.21,2023-03-10,ATM,Texas,0,eBay
TID0070,AID5,921.52,2023-03-11,POS,California,0,Costco
TID0071,AID3,2315.83,2023-03-12,ATM,Texas,0,eBay
TID0072,AID43,4373.06,2023-03-13,Online,California,0,Costco
TID0073,AID15,381.55,2023-03-14,Transfer,California,0,eBay
TID0074,AID50,4041.07,2023-03-15,Online,California,0,Walmart
TID0075,AID19,4280.55,2023-03-16,POS,Texas,0,Costco
TID0076,AID6,494.05,2023-03-17,Transfer,Illinois,0,Walmart
TID0077,AID15,3262.46,2023-03-18,ATM,Texas,0,Target
TID0078,AID7,2705.24,2023-03-19,Online,Texas,0,Walmart
TID0079,AID25,78.72,2023-03-20,Online,New York,0,Walmart
TID0080,AID18,470.85,2023-03-21,ATM,California,0,eBay
TID0081,AID30,3769.06,2023-03-22,ATM,Texas,0,Walmart
TID0082,AID41,1185.72,2023-03-23,Transfer,Texas,0,eBay
TID0083,AID24,2035.04,2023-03-24,Transfer,California,0,Costco
TID0084,AID11,2409.39,2023-03-25,ATM,Texas,0,Amazon
TID0085,AID24,4323.93,2023-03-26,ATM,Florida,0,Walmart
TID0086,AID23,4512.7,2023-03-27,Online,Texas,0,eBay
TID0087,AID14,827.36,2023-03-28,ATM,New York,0,eBay
TID0088,AID43,15.77,2023-03-29,ATM,California,0,eBay
TID0089,AID18,1955.16,2023-03-30,POS,Texas,0,Amazon
TID0090,AID45,4632.96,2023-03-31,Transfer,California,1,Walmart
TID0091,AID44,3926.72,2023-04-01,POS,Florida,0,Costco
TID0092,AID42,1429.82,2023-04-02,Online,California,1,eBay
TID0093,AID5,3484.47,2023-04-03,Transfer,Texas,0,Amazon
TID0094,AID39,3653.87,2023-04-04,POS,California,0,Walmart
TID0095,AID41,3917.89,2023-04-05,POS,Illinois,0,eBay
TID0096,AID11,3311.05,2023-04-06,Transfer,Texas,0,Costco
TID0097,AID35,2435.92,2023-04-07,ATM,California,0,Walmart
TID0098,AID47,953.54,2023-04-08,Transfer,Texas,0,eBay
TID0099,AID16,1092.42,2023-04-09,Online,California,1,Target
TID0100,AID11,297.12,2023-04-10,Transfer,California,0,Target
TID0101,AID30,3680.01,2023-04-11,ATM,Florida,1,eBay
TID0102,AID25,309.48,2023-04-12,ATM,California,0,Walmart
TID0103,AID18,1571.46,2023-04-13,Online,Florida,0,Costco
TID0104,AID41,255.46,2023-04-14,Online,Illinois,0,Costco
TID0105,AID45,2386.56,2023-04-15,POS,Florida,1,Target
TID0106,AID36,4597.34,2023-04-16,ATM,New York,0,Walmart
TID0107,AID15,2657.98,2023-04-17,Transfer,Florida,1,eBay
TID0108,AID44,289.11,2023-04-18,Transfer,California,0,eBay
TID0109,AID21,2541.6,2023-04-19,Transfer,Texas,0,Target
TID0110,AID50,4257.46,2023-04-20,Transfer,Florida,0,Costco
TID0111,AID50,347.26,2023-04-21,POS,Texas,0,Amazon
TID0112,AID4,344.46,2023-04-22,Transfer,Illinois,1,eBay
TID0113,AID15,4309.79,2023-04-23,ATM,Illinois,0,Amazon
TID0114,AID3,2021.86,2023-04-24,Online,California,0,Walmart
TID0115,AID21,4708.27,2023-04-25,ATM,California,0,Costco
TID0116,AID26,2850.53,2023-04-26,Transfer,California,1,Target
TID0117,AID18,2896.7,2023-04-27,POS,Florida,0,Amazon
TID0118,AID5,203.51,2023-04-28,POS,New York,0,Walmart
TID0119,AID14,414.51,2023-04-29,Online,New York,0,Amazon
TID0120,AID37,3288.58,2023-04-30,ATM,New York,0,Target
TID0121,AID46,2828.31,2023-05-01,ATM,California,0,Amazon
TID0122,AID21,1585.27,2023-05-02,Online,Illinois,0,Amazon
TID0123,AID14,1307.52,2023-05-03,Transfer,Florida,0,Target
TID0124,AID42,3350.28,2023-05-04,Online,Florida,0,Walmart
TID0125,AID32,1574.35,2023-05-05,Transfer,New York,0,Target
TID0126,AID26,1331.74,2023-05-06,Transfer,New York,1,Target
TID0127,AID42,658.74,2023-05-07,Online,California,0,Walmart
TID0128,AID30,3229.28,2023-05-08,Transfer,Texas,0,Costco
TID0129,AID10,2288.84,2023-05-09,Online,California,0,Costco
TID0130,AID17,4645.45,2023-05-10,POS,Illinois,0,eBay
TID0131,AID9,4678.99,2023-05-11,Transfer,California,0,Costco
TID0132,AID16,51.53,2023-05-12,Online,Illinois,0,Walmart
TID0133,AID48,3107.69,2023-05-13,Transfer,New York,0,Costco
TID0134,AID36,2817.15,2023-05-14,Transfer,New York,0,Amazon
TID0135,AID35,504.41,2023-05-15,Online,Texas,0,eBay
TID0136,AID17,2690.48,2023-05-16,Transfer,Texas,0,eBay
TID0137,AID48,2531.89,2023-05-17,Online,Florida,1,Target
TID0138,AID38,666.62,2023-05-18,POS,New York,0,Amazon
TID0139,AID28,1748.3,2023-05-19,Online,Illinois,0,Costco
TID0140,AID38,348.61,2023-05-20,ATM,Illinois,0,Target
TID0141,AID26,1225.2,2023-05-21,POS,New York,0,eBay
TID0142,AID24,1428.51,2023-05-22,Online,California,0,Walmart
TID0143,AID15,2193.73,2023-05-23,Transfer,Texas,0,Amazon
TID0144,AID9,2718.37,2023-05-24,POS,Texas,0,Amazon
TID0145,AID33,1516.07,2023-05-25,POS,Texas,0,Costco
TID0146,AID32,4919.35,2023-05-26,Online,Florida,0,Target
TID0147,AID6,4036.46,2023-05-27,POS,Florida,0,Costco
TID0148,AID49,2647.06,2023-05-28,POS,California,0,Walmart
TID0149,AID4,3340.98,2023-05-29,Online,Illinois,0,Target
TID0150,AID8,2775.24,2023-05-30,Online,California,0,Walmart
TID0151,AID10,4659.12,2023-05-31,Online,Texas,0,Target
TID0152,AID41,522.41,2023-06-01,POS,Texas,0,Target
TID0153,AID11,4391.24,2023-06-02,Transfer,Texas,0,Costco
TID0154,AID44,1326.01,2023-06-03,Online,New York,0,Amazon
TID0155,AID28,4449.11,2023-06-04,Transfer,Illinois,0,Costco
TID0156,AID39,3713.37,2023-06-05,Transfer,New York,0,eBay
TID0157,AID5,781.46,2023-06-06,POS,Florida,0,Target
TID0158,AID25,1412.37,2023-06-07,Transfer,Florida,0,eBay
TID0159,AID25,1057.1,2023-06-08,ATM,California,0,Target
TID0160,AID39,1717.69,2023-06-09,Online,New York,0,eBay
TID0161,AID30,3439.05,2023-06-10,Transfer,California,0,Target
TID0162,AID34,4265.3,2023-06-11,Online,Texas,0,eBay
TID0163,AID17,2529.52,2023-06-12,Online,New York,0,Walmart
TID0164,AID36,1259.35,2023-06-13,Transfer,Texas,0,Costco
TID0165,AID1,4541.25,2023-06-14,Transfer,Florida,0,Walmart
TID0166,AID44,258.74,2023-06-15,ATM,Texas,0,Walmart
TID0167,AID47,3173.25,2023-06-16,ATM,New York,1,Walmart
TID0168,AID8,4147.59,2023-06-17,Transfer,California,1,eBay
TID0169,AID44,225.21,2023-06-18,Transfer,California,0,Costco
TID0170,AID35,1671.11,2023-06-19,Online,Illinois,1,Target
TID0171,AID49,658.44,2023-06-20,Online,New York,0,Amazon
TID0172,AID18,4899.09,2023-06-21,Online,California,0,Amazon
TID0173,AID50,812.1,2023-06-22,Online,California,0,Target
TID0174,AID42,2211.97,2023-06-23,ATM,Florida,1,Costco
TID0175,AID22,3529.81,2023-06-24,Transfer,Texas,0,Walmart
TID0176,AID8,2806.73,2023-06-25,ATM,Illinois,0,Amazon
TID0177,AID19,563.81,2023-06-26,Transfer,New York,0,Amazon
TID0178,AID28,4725.53,2023-06-27,Transfer,New York,0,eBay
TID0179,AID11,3456.64,2023-06-28,Transfer,California,0,Target
TID0180,AID30,749.53,2023-06-29,ATM,New York,0,Costco
TID0181,AID1,184.96,2023-06-30,Transfer,California,0,Target
TID0182,AID47,1849.23,2023-07-01,ATM,New York,0,eBay
TID0183,AID47,2764.86,2023-07-02,ATM,New York,0,eBay
TID0184,AID17,2151.78,2023-07-03,POS,Florida,0,Target
TID0185,AID33,213.94,2023-07-04,Online,Texas,0,eBay
TID0186,AID49,1826.43,2023-07-05,Transfer,Illinois,0,Amazon
TID0187,AID12,4665.77,2023-07-06,POS,Illinois,1,Walmart
TID0188,AID33,4861.12,2023-07-07,Online,Texas,1,Walmart
TID0189,AID7,204.27,2023-07-08,Online,Texas,0,Amazon
TID0190,AID41,1792.26,2023-07-09,Online,California,0,Target
TID0191,AID20,3411.92,2023-07-10,Online,Texas,1,Amazon
TID0192,AID41,3336.33,2023-07-11,Transfer,California,0,Target
TID0193,AID33,1771.62,2023-07-12,Online,Texas,0,eBay
TID0194,AID39,2801.62,2023-07-13,Transfer,Texas,0,Walmart
TID0195,AID13,4374.19,2023-07-14,Online,Texas,0,Target
TID0196,AID10,4869.32,2023-07-15,Transfer,Illinois,0,Amazon
TID0197,AID24,3748.64,2023-07-16,Online,Florida,0,Walmart
TID0198,AID49,4629.19,2023-07-17,ATM,Florida,0,Walmart
TID0199,AID11,1187.5,2023-07-18,POS,New York,0,Target
TID0200,AID35,816.7,2023-07-19,Transfer,California,0,Target
